,TENet,ENet
Intercept,60.86023936238495,45.8853890697126
PC1,-0.3820286831334711,-0.5354835559883103
PC2,-1.3261471417856396,-1.7776581746430271
PC3,2.4191640559720264,3.2461300010780816
PC4,1.718563272598673,1.4975636641840049
PC5,-4.592658837418846,-4.17102207212493
PC6,-0.0319103253879562,-0.2016727141264725
PC7,1.2731241190746787,1.122162533870343
PC8,0.3942986319131091,0.4689731420678775
PC9,-0.493702996602815,0.0
PC10,0.9890991271586256,0.8899921045620272
PC11,0.3953124897328257,0.0
PC12,1.3305771098405186,0.795291198661827
PC13,0.6168599903788898,0.0
PC14,-3.4081558874943627,-6.8451783308774745
PC15,-0.920616264676526,0.0
PC16,4.502606720175367,2.361400329764836
PC17,0.7448097126567467,0.0708716846924853
PC18,4.004898467262355,4.664309241509188
PC19,-5.5084262489748586,-7.5145292979172975
PC20,-2.616428708313356,-0.829880097075769
PC21,0.9196549086136708,0.0
PC22,0.0309224443314607,0.0
PC23,-2.580887776404775,-2.125881903543484
PC24,0.0,0.0
PC25,0.3386215770040049,0.0
PC26,4.090490775173231,4.406652391136452
PC27,-1.1790455051602342,0.0
PC28,-3.175677729724212,-4.298940191717555
PC29,-0.4283487247720529,0.0
PC30,0.0,0.0741873454795374
PC31,0.0,0.0
PC32,2.115865794006225,0.0
PC33,-1.7950223885459486,0.0
PC34,-1.9851378675666584,-0.0125438598496168
PC35,-0.4747554939033998,0.0
PC36,-0.1179131872669934,0.0
PC37,-2.546949324703051,-2.96758406918748
PC38,-1.5671030278446656,-0.3164335588454919
PC39,1.0526753926442698,0.0
PC40,-2.085780886248949,-0.8166837166367729
PC41,-1.827652216073423,-5.033924907944221
PC42,0.0,0.0
PC43,1.1387093058590023,0.0
PC44,0.077493350414793,0.0
PC45,2.88142182962247,0.0
PC46,-0.0548877699499192,0.0
PC47,-0.6471340864780516,0.0
PC48,0.0,0.0
PC49,-1.4503740270384324,0.0
PC50,-1.6171799321636635,0.0
PC51,0.714364106319381,0.0
PC52,-1.657097366049422,0.0
PC53,-2.022798075381933,0.0
PC54,-3.178498801498263,-8.667195879690727
PC55,1.5549047347546754,0.0
PC56,-0.4261884832126653,0.0
PC57,1.1451870052374222,0.0
PC58,1.809053222359452,0.0219539051846873
PC59,-3.7966495988877615,-7.668518332967211
PC60,0.5134916215112921,0.0
PC61,-1.829625571846096,0.0
PC62,-1.532534522188676,0.0
PC63,-0.419804125995797,0.0
PC64,2.900687113594329,3.720239649747932
PC65,2.7888545616784075,0.0
PC66,0.0,0.0
PC67,2.0209234734154635,0.0
PC68,1.402049319281651,0.0
PC69,1.6173741559689003,0.0
PC70,-1.055881663368137,-1.880860863032372
PC71,-0.8617190278899574,0.0
PC72,-2.351526079439088,0.0
PC73,0.1258313923622757,0.0
PC74,0.0,0.0
PC75,0.0,0.0
PC76,2.082771745244848,0.0
PC77,0.0,0.4824077423757538
PC78,0.0,0.0
PC79,0.5058971949977125,0.0
PC80,1.757519025150197,0.3391606130851248
PC81,-1.4955963649435349,0.0
PC82,2.029696252898535,0.0
PC83,-1.284217433112263,0.0
PC84,1.8528172996050456,0.0
PC85,-1.6442965932721958,0.0
PC86,-1.3905971461071898,0.0
PC87,1.8926075812391503,0.0
PC88,0.0,0.0
PC89,-1.5967485767742633,0.0
PC90,0.0651520033562492,0.0
PC91,-0.1539901760244065,0.0
PC92,-0.8702291552949841,0.0
PC93,-2.702775847701711,0.0
PC94,0.5836554649173229,0.0
PC95,0.0,0.0
PC96,0.8980579367376172,0.0
PC97,0.0,0.0
PC98,0.0,0.0
PC99,1.7724033591804766,0.0
PC100,0.0,1.4776892106518775
PC101,-1.0053713560601631,0.0
PC102,2.875051246996083,0.0
PC103,-0.2995013978762862,-2.77350768279521
PC104,2.303505330884765,1.5693680797991352
PC105,0.914412837795628,0.0
PC106,1.337056042294131,0.0
PC107,0.0,0.0
PC108,0.9361010489625028,0.0
PC109,0.0,0.0
PC110,-0.3696585865778712,0.0
PC111,-0.3536973135101335,0.0
PC112,0.3250333867562976,0.0
PC113,0.0,0.0
PC114,0.0,0.0
PC115,-0.5814014589859778,0.0
PC116,0.0,0.0
PC117,1.7748502001640978,0.0
