,TENet,ENet
Intercept,1.0684937560723364,0.9335689209884724
PC1,3.865131787197643e-07,-0.0009135304519666
PC2,0.0003093000532258,-0.0337819770108283
PC3,-0.0347119232930218,-0.0205491712525216
PC4,0.0347546350675196,0.0159433368634193
PC5,-0.013743287066026,-0.0908617369034883
PC6,0.0732104490958589,-0.0064721417587102
PC7,-0.1632013655486765,-0.1369817014700666
PC8,0.1078007042315499,0.1043215570225609
PC9,-0.00272986759807,0.0240591204990097
PC10,-0.0001062145513994,-0.0349879464424871
PC11,0.0629134351405314,0.0064915748846291
PC12,0.0954092355819075,0.0357633500583654
PC13,0.0173869483729401,-0.0130001943760604
PC14,0.0142920681123075,0.0178504559325503
PC15,0.0080555429463098,0.0522032732574656
PC16,0.0,-0.0359767291128585
PC17,-0.0045752411844941,0.0076738728973162
PC18,0.0447265112050094,0.0141350369345993
PC19,0.0,0.0252635650565166
PC20,0.0183881374259469,0.0714087798206964
PC21,-0.1108159548686523,-0.0009575651296142
PC22,0.0637210750499973,0.0388324107709025
PC23,-0.2241636882345891,-0.1124393707531351
PC24,-0.0018763430964875,-0.0338983660286005
PC25,0.0,-0.0207950524236029
PC26,0.0354450621619738,0.0583187826020114
PC27,-0.2067540509014271,-0.077156293884129
PC28,0.0,0.003780700377562
PC29,0.0440798717906084,0.0731015660198677
PC30,0.0026862947073898,0.0119706624524901
PC31,-0.1045223496761178,-0.0224759793216081
PC32,0.0675651764820246,0.0404521174728287
PC33,0.0254789250452494,0.0273127876534697
PC34,-0.1437945423712379,-0.0938802040934809
PC35,0.0,0.0027169741667861
PC36,0.15007347007017,0.0588148045115463
PC37,0.1647298970049883,0.0462406203850242
PC38,0.1461327022053658,0.0274843519267337
PC39,0.0130144379383492,-0.0134259859398207
PC40,0.1853193173107704,0.0551735004275905
PC41,0.0248488503895799,-0.0038995132851063
PC42,-0.0833457178206888,0.0117772738044115
PC43,0.0932526756127559,0.0219707604061182
PC44,0.082008573082391,0.0410432869417508
PC45,0.0,-0.0103890867389552
PC46,-0.1343605007497738,-0.0889647659967083
PC47,0.1383350579905576,0.0227917065083243
PC48,-0.0410194776860364,0.000397286968488
PC49,-0.1249496792062552,-0.0287751735254617
PC50,0.0065217492115612,-0.0026791202521007
PC51,-0.0996730864432895,-0.0337442768134107
PC52,-0.2432716795174693,-0.0675758979273341
PC53,-0.1161787131752919,-0.0118313070431495
PC54,-0.0191843892971698,0.034574805234239
PC55,-0.0777160342791923,-0.0805038051734331
PC56,0.0,-0.039356165817928
PC57,0.0,-0.0028514956208024
PC58,0.0,0.0310096531023659
PC59,0.0,0.0042701838339418
PC60,-0.1402881559884475,0.0050229659945485
PC61,-0.0977472818627558,-0.0832299519453202
PC62,-0.0662247369996353,0.0101602094182271
PC63,0.1544759921067955,0.0278544178496357
PC64,0.0,0.0063166517119466
PC65,-0.1004644850131618,-0.0128933395513076
PC66,0.1127892638021481,0.0022555968728322
PC67,0.0,0.0082793422296489
PC68,0.1350277408946619,0.0377086770937883
PC69,0.0,-0.00460219274572
PC70,-0.1447502664022157,-0.03451922631567
PC71,0.0,-0.0412606186625855
PC72,0.0525451222063274,0.0383762757365853
PC73,-0.1254083387130368,-0.0227180666888802
PC74,0.0025788087910837,-0.0158363842749583
PC75,0.0538633638389638,0.024176940711716
PC76,0.1093932468664579,0.0221838835310197
PC77,0.0,-0.0143127614375559
PC78,-0.0913795754954938,-0.0552783925953919
PC79,0.003200436021276,-0.037002553969013
PC80,0.1103050479833607,0.005927198504519
PC81,-0.0811980691831715,0.0308004223205111
PC82,-0.1384690975111963,-0.0459169052946518
PC83,-0.106509314751516,-0.0398316406795162
PC84,0.0707189846172975,0.0025011620049443
PC85,0.0,-0.0331342959974217
PC86,0.0,-0.0094602897054196
PC87,0.0,-0.014429641227105
PC88,0.0,-0.0104727854662663
PC89,0.0,0.0284914040392682
PC90,0.0,0.0055909348731276
PC91,0.0349541480346335,0.0043811079802001
PC92,-0.1274641058830218,-0.0145642022782529
PC93,0.0,0.0137390944398947
PC94,-0.0434441864932633,0.0050206181277877
PC95,0.0,-0.0467543187657807
PC96,-0.0875576363870028,-0.001290605986201
PC97,0.0,0.002143406944081
PC98,0.0845976958632421,0.0446574763095566
PC99,0.0411004599710208,-0.0127810413831325
PC100,0.0,0.0053625798353868
PC101,0.0,-0.0105696733622545
PC102,0.0,-0.0390294447731876
PC103,-0.0168669363510778,-0.0052587075347892
PC104,0.0173061545625329,-0.0200324537599825
PC105,0.0,-0.0116213841299229
PC106,0.0,0.0151289993107454
PC107,0.0,-0.0197038141679411
PC108,0.0,0.0010407497384184
PC109,-0.116551950028705,-0.0186343753491993
PC110,0.0063503363004323,-0.0011923708934116
PC111,0.0819009101052608,0.0479897220762992
PC112,0.0,-0.0104755235279675
PC113,0.1054081688765591,0.0333001992630056
PC114,0.1126630218840087,0.0223062185648467
PC115,-0.0131456466971971,0.0168350101786549
PC116,0.0,-0.0209579241617406
PC117,0.0563583796271912,-0.0219707339001363
PC118,0.0,-0.0049891784635516
PC119,0.0,-0.008446168128401
PC120,-0.0957944339431493,-0.0098690613373759
PC121,-0.0118549782751139,-0.0130415868680471
PC122,0.0,0.0077646698845359
PC123,0.0,-0.0132877852320321
PC124,0.0,-0.010449131227669
PC125,0.0,0.0073079471078981
PC126,0.0,0.0109362698792363
PC127,0.0,0.0119236564917499
PC128,0.1147798111395437,0.011776159057859
PC129,0.0,0.0044857841998777
PC130,0.0,0.0077379826861697
PC131,0.0,-0.0140436440628592
PC132,0.0,0.0043667860247516
PC133,0.0,0.0023431593225625
PC134,0.0,-0.0091061869950528
PC135,0.0,0.0188735001675505
PC136,0.0,-0.0074294028556616
PC137,0.0,-0.0348867901513701
PC138,-0.155665245087078,-0.036217248685574
PC139,-0.1524013486956349,-0.0305770347693106
PC140,0.0,0.0065070612620645
PC141,0.0110596749666863,0.0057220171937218
PC142,-0.0557124213563742,-0.0046116832936338
PC143,0.0,0.007438389624476
PC144,0.093073956503133,0.02277873083231
PC145,0.0,-0.0179654441831555
PC146,0.0,0.0030076533183911
PC147,0.0,0.0039567205520868
PC148,0.0,-0.0044103298574964
PC149,0.0,0.0340031678825371
PC150,0.0,-0.0059362712934096
PC151,0.0,-0.0260704630875663
PC152,0.0,-0.0039224522249958
PC153,0.0,0.0190503354057459
PC154,0.0,-0.0085052286380037
PC155,0.0,-0.0099073866065728
PC156,0.0,0.014233915010923
PC157,0.0585788916241597,-0.0099353600771504
PC158,0.0,-0.0207360262614889
PC159,0.0,-0.0196946084733841
PC160,0.0,0.0124570488394485
PC161,-0.1015280155529348,-0.0074179061039521
PC162,0.0508344597957833,-0.0023013946866029
PC163,0.0,0.013078866539816
PC164,0.0,0.01998165269128
PC165,0.0,-0.0002695536808648
PC166,0.0,0.0077476689614028
PC167,0.0,-0.0234946925275177
PC168,0.0,0.0026919198230163
PC169,0.0,0.0006421962533186
PC170,0.0,-0.0045221652197847
PC171,0.0757547653360413,0.0158560973450665
PC172,0.0,0.0104292404409379
PC173,0.0,0.0061497594567853
PC174,0.0,-0.0103502847000856
PC175,0.0,-0.027002405676447
PC176,0.0,-0.0126350712756748
PC177,0.0,0.0092888672646862
PC178,0.0,0.0186291923945789
PC179,-0.1179922912761664,-0.014515461948462
PC180,0.0,0.0121484962602396
PC181,0.0,0.0092487938018039
PC182,-0.1270849392362898,-0.0126808380977527
PC183,0.0,-0.0096865806602286
PC184,0.0,-0.0261056391154765
PC185,-0.04249738267627,-0.0012705901190935
PC186,0.0,-0.0056720842492776
PC187,-0.062631018189648,0.0193135311236181
PC188,0.0,-0.0058482403179861
PC189,0.0,0.0198725253997529
PC190,0.0,0.001068535069866
PC191,0.0,-0.020028529046975
PC192,0.0,-0.0045401525934482
PC193,0.0,0.0031615696553171
PC194,0.0,0.0021509350351519
PC195,0.0,0.0076519856562633
PC196,0.0,0.001586317424401
PC197,0.0,-0.0029249299841397
PC198,0.0,0.0062953493208883
PC199,0.0786450589183445,0.0054088251482395
PC200,0.0,-0.0114539618278814
PC201,0.0,-0.0196431141632608
PC202,0.0,-0.0040863338551245
PC203,0.0,0.017984098729794
PC204,0.0,0.0187757911049271
PC205,0.0,0.0084384230618079
PC206,0.0,0.0108342276327724
PC207,0.0,-0.0050226140142465
PC208,0.0,0.0019781005785781
PC209,0.0,0.0170667176325584
PC210,0.0,0.0182119619553005
PC211,0.0,-0.0048520583371689
PC212,0.0,-0.0008481698980029
PC213,0.0295496208571908,0.027106361864072
PC214,0.0,-0.0130613692466904
PC215,0.0,-0.0036549598341067
PC216,0.0,0.0017541646773053
PC217,0.0,0.00766270025851
PC218,0.0,-0.0129166843246288
PC219,0.0,0.0243278227382179
PC220,0.0,0.0008642609789819
PC221,0.0,0.0130956494783116
PC222,0.0,-0.0024943888793525
PC223,0.0,0.0034161992877759
PC224,0.0,0.0055535132374218
PC225,0.0,0.005314367076659
PC226,0.0,-0.002253700472904
PC227,0.0,-0.0010042385071912
PC228,0.0,0.0015021178287079
PC229,-0.0569203761974727,-0.016719556342571
PC230,0.0,0.0056394557881053
PC231,0.0,0.0031035767523297
PC232,0.0,0.0074998256778076
PC233,0.0,0.0069035484101
PC234,0.0,-0.0012013043968886
PC235,0.0,0.0054849894380037
PC236,0.0,-0.0117792494691181
PC237,0.0,-0.0221674619686893
PC238,0.0,0.0322387805808233
PC239,0.0,0.0087799686965269
PC240,0.0,-0.015276970768826
PC241,0.0,0.0004808108819838
PC242,-0.0732402686944095,0.0098109274904641
PC243,0.0,-0.011036060146128
PC244,0.0,0.0065076614794715
PC245,0.0,-0.0008635253027228
PC246,0.0,0.0073650139289533
PC247,0.0,0.0236111074233528
PC248,0.0,-0.0151625222178067
PC249,0.0,0.0080147168712019
PC250,0.0,-0.0027562266871777
PC251,0.0,-0.0155729806441955
PC252,0.0,-0.0077102464629716
PC253,0.0,-0.002929624455564
PC254,0.0,-0.0174928545415047
PC255,0.0,0.0091948898843481
PC256,0.023230788875735,-0.013782951752114
PC257,0.0,0.0086870535687186
PC258,0.0633025082585594,-0.0021783152154949
PC259,0.0,-0.0024573874606665
PC260,0.0,-0.0145894992847079
PC261,0.0,-0.0202431351981246
PC262,0.0,-0.0110403317132037
PC263,0.0,-0.0072536478432294
PC264,0.0,-0.0010130270339217
PC265,0.0,0.0007316744881676
PC266,0.0,-0.0015890456127214
PC267,0.0,0.0038076878937379
PC268,0.0,-0.0059684328456993
PC269,0.0,-0.0006537159497563
PC270,-0.0239994626987422,-0.0023609781353422
PC271,0.0,-0.0031549480830947
PC272,0.0,-0.0219910885955273
PC273,0.0,-0.0036610821908867
PC274,0.0,-0.0056205017694087
PC275,0.0,0.0078816377002187
PC276,-0.0186100732424434,0.0051978649114475
PC277,0.0,-0.0097273927447406
PC278,0.0,-0.0012127510192388
PC279,0.0,-0.0163044429162644
PC280,0.0,-0.0136993205938029
PC281,0.0,0.0109900816235707
PC282,0.0,-0.0112531142409985
PC283,0.0,-0.0009065691519312
PC284,0.0,-0.0064795392315037
PC285,0.0,0.0001420828986742
PC286,0.0,0.0024559215787577
PC287,0.0,-0.0036229495569067
PC288,0.0,-0.0131157679307951
PC289,0.0,0.0245744746685223
PC290,0.0,-0.0161534054601553
PC291,0.0651878235067076,0.0112231998336371
PC292,0.0515192527434033,-0.0116453956254965
PC293,0.0,-0.0069335769212673
PC294,0.0,-0.0098914325908216
PC295,0.0,-0.0047544949237055
PC296,0.0,-0.0105489883415531
PC297,0.0,0.0056224444609849
PC298,0.0,0.0134359840700781
PC299,0.0,-0.0142283973378334
PC300,0.0,0.0037713942380434
PC301,0.0,-0.0121549989401548
PC302,0.0,-0.0007151712148502
PC303,0.0,0.0004949898141151
PC304,0.0,-0.0112994387977072
PC305,0.0,-0.0044555904747259
PC306,0.0,0.0147839708516881
PC307,0.0,0.0022104333838434
PC308,0.0,0.0068854142015199
PC309,0.0,-0.00425940612515
PC310,0.0,0.0098482470812769
PC311,0.0,-0.0131975473958286
PC312,0.0,0.0066958253703617
PC313,0.0,0.0077583434601078
PC314,0.0,0.0070033757466268
PC315,0.0,0.0116494047869677
PC316,0.0030102667208926,0.0002622001181407
PC317,0.0,0.0075024029965349
PC318,0.0,-0.0154409347714127
PC319,0.0,-0.0146715961482058
PC320,0.0,0.0080718960887359
PC321,-0.0367824097595257,0.0114999008225008
PC322,0.0,0.0006748201563209
PC323,0.0,0.0143325474496766
PC324,0.0,-0.0093611189352797
PC325,0.0,-0.0108075164689956
PC326,0.0,-0.0043250230143652
PC327,0.0,-0.0110036811051712
PC328,0.0,-0.0020837520582903
PC329,0.0,0.0087212862756229
PC330,0.0,0.0022351494956109
PC331,0.0,-0.004528479454897
PC332,0.0,-0.0173315484541516
PC333,0.0,-0.0080933671684492
PC334,0.0,-0.0050679018451191
PC335,0.0,0.0061755719975196
PC336,0.0,0.0069502893516946
PC337,0.0,0.0089690725138814
PC338,0.0,0.0125665554140422
PC339,0.0,-0.0009314848299511
PC340,0.0,-0.0060933724175634
PC341,0.0,-0.0002769747140308
PC342,0.0,-0.0015331782033445
PC343,0.0,0.0038144506135083
PC344,0.0,4.207428099438993e-05
PC345,0.0,0.0081015799126187
PC346,0.0,-0.0041246218204715
PC347,0.0,-0.0251664310839048
PC348,0.0,0.0124169491136546
PC349,0.0,0.0045241969846182
PC350,0.0,-0.000660527293932
PC351,0.0,0.007177309230503
PC352,0.0,-0.0142881294330585
PC353,0.0,-0.0046025064278747
PC354,0.0,0.0050012961186045
PC355,0.0,-0.0115607340903582
PC356,-0.1003213062029289,-0.0083363689638958
PC357,0.0,0.0069498904134938
PC358,0.0,-0.0131664755229463
PC359,0.0,-0.0026893009348279
PC360,0.0,-0.0048791207690703
PC361,0.0,0.0017088165797563
PC362,0.0,0.0151021286637527
PC363,0.0,-0.0055564118701914
PC364,0.0,-0.0008203162872837
PC365,0.0,-0.0037397988128348
PC366,0.0,0.0038952509079386
PC367,0.0,-0.0063304954938397
