,TENet,ENet
Intercept,63.1117466671968,60.9965447334327
PC1,0.269221078408062,0.0
PC2,-0.729885882,-0.580288711
PC3,-0.03552784,0.0
PC4,1.5718822306989,1.61635684650328
PC5,2.90109011033679,3.74415471167442
PC6,0.181751203903104,0.0
PC7,-1.067981744,0.0
PC8,-4.080478634,-6.138225149
PC9,-0.782935885,0.0
PC10,0.0,0.0
PC11,0.891353487535334,1.02821672083365
PC12,5.4361719633482,8.39740209477234
PC13,-2.250883746,-3.32179062
PC14,0.339192802476634,0.0
PC15,-0.191071041,0.0
PC16,-0.076957474,0.0
PC17,-1.816747681,-1.211931557
PC18,0.0,0.0
PC19,0.0,0.0
PC20,-0.685670284,0.0
PC21,0.212669074441297,0.540333426993001
PC22,3.19029623683909,2.32944961278111
PC23,3.56862865918797,0.818615108605584
PC24,1.46176463088276,2.58137058782289
PC25,-0.757986547,-0.117219172
PC26,-0.203643625,0.0
PC27,0.0,0.0
PC28,-2.758276029,-1.265875369
PC29,-2.282920963,0.0
PC30,-0.113881253,0.0
PC31,1.2817606570202,0.08777331
PC32,0.0,0.0
PC33,-3.04797148,0.0
PC34,0.0,0.0
PC35,0.0,0.0
PC36,-1.368717797,0.0
PC37,1.22935064946677,0.0
PC38,-2.403186937,-4.4591545
PC39,2.63719308150476,0.0
PC40,-2.86812412,0.0
PC41,-1.025368022,0.0
PC42,-3.23751984,0.0
PC43,0.325216709585818,0.0
PC44,-2.193642743,0.0
PC45,2.74795231444874,3.15607787157783
PC46,0.0,0.0
PC47,-0.156935869,0.0
PC48,0.0,0.0
PC49,0.0,0.0
PC50,1.45942147067736,0.0
PC51,3.07444329504933,0.339629296120311
PC52,3.08197441426239,0.0
PC53,-1.412844233,0.0
PC54,0.0,0.0
PC55,-1.634452657,0.0
PC56,-0.082000177,0.0
PC57,0.580200249297632,0.0
PC58,0.0,0.0
PC59,0.759915289454361,0.0
PC60,0.694955105934916,0.0
PC61,-0.129797746,-2.758965346
PC62,-1.567740263,0.0
PC63,1.608309592,1.82022969675379
PC64,0.629184691935767,0.0
PC65,0.707478546247665,0.0
PC66,-2.497563414,0.0
PC67,0.0,0.0
PC68,0.0,0.0
PC69,-2.719123457,0.0
PC70,0.0,0.0
PC71,1.15922378140288,0.0
PC72,0.818357774568542,0.0
PC73,0.0,0.0
PC74,0.0,0.0
PC75,-1.241788517,0.0
PC76,0.0,0.0
PC77,-0.719348655,0.0
PC78,0.973930343917646,0.0
PC79,-0.75251642,0.0
PC80,0.0,0.0
PC81,0.0,0.0
PC82,0.0,0.0
PC83,0.0,0.0
PC84,1.65711123405702,0.0
PC85,0.0,0.0
PC86,0.0,0.0
PC87,-2.033108997,0.0
PC88,0.0,0.0
PC89,0.0,0.0
PC90,0.0,0.0
PC91,0.202119260601279,0.0
PC92,0.0,0.0
PC93,1.77311184236802,0.0
PC94,2.35426715737246,0.0
PC95,0.225585295033954,0.0
PC96,0.0,0.0
PC97,-1.231282023,0.0
PC98,-0.064732571,0.0
PC99,0.0,0.0
PC100,0.869966004876909,0.0
PC101,-0.119326506,0.0
PC102,0.0,0.0
PC103,0.114202432886341,0.0
PC104,-0.106043301,0.0
PC105,1.71480595847811,0.0
PC106,0.0,0.0
PC107,0.0,0.0
PC108,0.0,0.0
PC109,-0.87023665,0.0
PC110,-0.341689637,0.0
PC111,1.589469186,0.0
PC112,0.0,0.0
PC113,0.0,0.0
PC114,0.0,0.0
PC115,0.0,0.0
PC116,0.0,0.0
PC117,-0.522740726,0.0
PC118,0.796608756741138,0.0
PC119,-1.458471677,0.0
PC120,-1.871309426,0.0
PC121,1.29307012757282,0.0
PC122,-0.329846322,0.0
PC123,1.10821399341798,0.0
PC124,-1.818883979,0.0
PC125,-0.552877259,0.0
PC126,0.170046416253506,0.0
PC127,-0.04682491,0.0
PC128,0.0,0.0
PC129,0.0,0.0
PC130,0.402035556345101,0.0
PC131,1.16674005626931,0.0
PC132,-0.302827228,0.0
PC133,0.0,0.0
PC134,0.0,0.0
PC135,1.26006617849319,0.0
PC136,-0.842443629,0.0
PC137,-0.951410479,0.0
PC138,1.00700735359912,0.0
PC139,1.5803399792219,0.0
PC140,0.0,0.0
PC141,0.0,0.0
PC142,0.0,0.0
PC143,-0.880622594,0.0
PC144,0.0,0.0
PC145,0.0,0.0
PC146,0.0,0.0
PC147,0.0,0.0
PC148,0.0,0.0
PC149,-1.079810073,0.0
PC150,0.0,0.0
PC151,0.0,0.0
PC152,0.0,0.0
PC153,-0.489745454,0.0
PC154,-0.955649195,0.0
PC155,1.28654149170362,0.0
PC156,0.0,0.0
PC157,0.684546721306493,0.0
PC158,0.109162323628987,0.0
PC159,-1.639296306,0.0
PC160,0.0,0.0
PC161,0.0,0.0
PC162,0.640751898424943,0.0
PC163,0.0,0.0
PC164,-1.237144223,0.0
PC165,-0.213328821,0.0
PC166,0.0,0.0
PC167,1.11753143597139,0.0
PC168,1.17565222780054,0.0
PC169,0.0,0.0
PC170,0.0,0.0
PC171,1.2669893050205,0.0
PC172,0.0,0.0
PC173,0.0,0.0
PC174,-1.20281873,0.0
PC175,0.0,0.0
PC176,0.0,0.0
PC177,0.0,0.0
PC178,0.0,0.0
PC179,0.0,0.0
PC180,0.376344054256415,0.0
PC181,0.0,0.0
PC182,0.0,0.0
PC183,0.0,0.0
PC184,0.0,0.0
PC185,0.0,0.0
PC186,0.0,0.0
PC187,0.0,0.0
PC188,0.0,0.0
PC189,0.0,0.0
PC190,0.0,0.0
PC191,-0.382216918,0.0
PC192,0.0,0.0
PC193,0.0,0.0
PC194,-0.913031562,0.0
PC195,0.0,0.0
PC196,0.0,0.0
PC197,-0.848726378,0.0
PC198,0.0,0.0
PC199,0.029235158,0.0
PC200,0.982112566686443,0.0
PC201,0.885955442466525,0.0
PC202,1.612687668,0.0
PC203,0.0,0.0
PC204,0.0,0.0
PC205,0.0,0.0
PC206,0.0,0.0
PC207,0.0,0.0
PC208,0.0,0.0
PC209,0.0,0.0
PC210,0.0,0.0
PC211,0.0,0.0
PC212,0.0,0.0
PC213,0.0,0.0
PC214,-0.873329682,0.0
PC215,0.0,0.0
PC216,0.0,0.0
PC217,-0.864868337,0.0
PC218,0.0,0.0
PC219,-1.31218057,0.0
PC220,0.0,0.0
PC221,0.0,0.0
PC222,0.0,0.0
PC223,0.0,0.0
PC224,0.0,0.0
PC225,-0.685225601,0.0
PC226,0.0,0.0
PC227,0.0,0.0
PC228,-0.587832332,0.0
PC229,0.0,0.0
PC230,0.0,0.0
PC231,-0.157880322,0.0
PC232,-0.298104404,0.0
PC233,0.0,0.0
PC234,1.33255810668926,0.0
PC235,0.181488874306383,0.0
PC236,0.0,0.0
PC237,0.0,0.0
PC238,0.50436324564522,0.0
PC239,0.0,0.0
PC240,0.0,0.0
PC241,-0.423926679,0.0
PC242,0.0,0.0
PC243,0.0,0.0
PC244,-0.282141524,0.0
PC245,0.0,0.0
PC246,0.0,0.0
PC247,0.0,0.0
PC248,-0.937924394,0.0
PC249,-0.165198991,0.0
PC250,0.0,0.0
PC251,0.0,0.0
PC252,1.05553233658538,0.0
PC253,0.0,0.0
PC254,0.0,0.0
PC255,0.0,0.0
PC256,1.39808735500232,0.0
PC257,0.0,0.0
PC258,0.0,0.0
PC259,0.0,0.0
PC260,0.0,0.0
PC261,0.0,0.0
PC262,0.356661937754642,0.0
PC263,0.0,0.0
PC264,0.0,0.0
PC265,-0.835717293,0.0
PC266,-0.244210102,0.0
PC267,-1.003005045,0.0
PC268,0.0,0.0
PC269,0.973958662256085,0.0
PC270,0.0,0.0
PC271,0.0,0.0
PC272,0.0,0.0
PC273,0.0,0.0
PC274,0.0,0.0
PC275,0.0,0.0
PC276,0.0,0.0
PC277,0.0,0.0
PC278,0.0,0.0
PC279,0.0,0.0
PC280,-0.302171517,0.0
PC281,0.0,0.0
PC282,0.0,0.0
PC283,-1.0467337,0.0
PC284,-1.022270702,0.0
PC285,0.0,0.0
PC286,-0.272932529,0.0
PC287,0.416395044417201,0.0
PC288,0.888036156448523,0.0
PC289,0.0,0.0
PC290,-0.122659595,0.0
PC291,-1.156120656,0.0
PC292,-0.869527625,0.0
PC293,1.4281890041686,0.0
PC294,0.0,0.0
PC295,0.0,0.0
PC296,0.0,0.0
PC297,0.0,0.0
PC298,0.0,0.0
PC299,-0.865460773,0.0
PC300,-0.111888006,0.0
PC301,0.0,0.0
PC302,0.0,0.0
PC303,0.848432810754711,0.0
PC304,0.0,0.0
PC305,0.0,0.0
PC306,0.0,0.0
PC307,0.0,0.0
PC308,-0.002748903,0.0
